,TotalRobotKm,TotalBikeKm,AvgParcelDelay,DeliveredParcels,RobotQueue,BikeQueue
88,68.34111696839156,57.46493459584945,18.08450704225352,71,93,10
89,70.03758833585965,59.11252480969547,18.08450704225352,71,92,12
90,71.51835057029695,60.897097477203914,18.083333333333332,72,98,14
91,73.41684710015109,62.11913017373891,18.094594594594593,74,100,14
92,75.0269522713217,64.69495284385899,18.13157894736842,76,108,17
93,76.86506976045764,67.4112022376055,18.189873417721518,79,118,20
94,78.4678451806592,69.86896659532319,18.25,80,127,20
95,79.89868930516262,72.49892234846327,18.308641975308642,81,132,22
96,81.47520896825381,74.54495064809574,19.397590361445783,83,135,27
97,82.67633528026084,76.4015481469932,19.50574712643678,87,140,28
98,84.42821559817271,77.66550848386704,19.50574712643678,87,148,31
99,85.90354316680309,79.63687338151199,19.730337078651687,89,161,34
